1,{'tyres': ['Metal', 'Roller', 'Cushion', 'Crimson Slim'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Super Glider', 'Flower Glider', 'Parafoil'], 'vehicles': ['Standard Bike', 'Mach 8', 'Gold Standard', 'Jet Bike'], 'players': ['Oliver', 'Computer', 'Computer', 'Computer'], 'characters': ['Baby Luigi', 'Luigi', 'Roy', 'Larry'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
13,{'tyres': ['Azure Roller', 'Funky Monster', 'Roller', 'Roller'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['MKTV Parafoil', 'Parafoil', 'Peach Parasol', 'Wario Wing'], 'vehicles': ['Landship', 'Cat Cruiser', 'Teddy Buggy', 'Bounder'], 'players': ['Rob', 'Andy', 'Thomas', 'Uma'], 'characters': ['Shy Guy', 'Waluigi', 'Baby Peach', 'Roy'], 'handicaps before this game': [0.0, -0.5, -0.25, 0.25], 'team selection': 'random'}
14,{'tyres': ['Metal', 'Cushion', 'Slick', 'Crimson Slim'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Parachute', 'Flower Glider', 'Wario Wing', 'Peach Parasol'], 'vehicles': ['The Duke', 'Wild Wiggler', 'Comet', 'Prancer'], 'players': ['Ian', 'Shamayl', 'Rob', 'Victor'], 'characters': ['Rosalina', 'Morton', 'Shy Guy', 'Koopa Troopa'], 'handicaps before this game': [-0.5, -0.25, 0.25, -0.5], 'team selection': 'random'}
15,{'tyres': ['Normal Blue', 'Crimson Slim', 'Azure Roller', 'Metal'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Peach Parasol', 'Waddle Wing', 'Bowser Kite', 'Bowser Kite'], 'vehicles': ['Standard Bike', 'Steel Driver', 'Sports Coupe', 'Sports Coupe'], 'players': ['Oliver', 'Eirik', 'Ian', 'Andy'], 'characters': ['Lemmy', 'Peach', 'Shy Guy', 'Luigi'], 'handicaps before this game': [-0.25, -0.25, -0.25, -0.25], 'team selection': 'random'}
16,{'tyres': ['Offroad', 'Slim', 'Crimson Slim', 'Normal Tyres'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Cloud Glider', 'Bowser Kite', 'Wario Wing', 'Parachute'], 'vehicles': ['Steel Driver', 'Sport Bike', 'Varmint', 'Mach 8'], 'players': ['Ian', 'Andy', 'Oliver', 'Uma'], 'characters': ['Ludwig', 'Yoshi', 'Baby Mario', 'Baby Peach'], 'handicaps before this game': [-0.25, -0.25, -0.25, 0.0], 'team selection': 'random'}
17,{'tyres': ['Button', 'Slick', 'Monster', 'Funky Monster'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Plane Glider', 'Peach Parasol', 'MKTV Parafoil', 'Plane Glider'], 'vehicles': ['Yoshi Bike', 'Standard Quad', 'Sport Bike', 'Comet'], 'players': ['Rob', 'Andy', 'Uma', 'Thomas'], 'characters': ['Baby Mario', 'Baby Luigi', 'Baby Daisy', 'Morton'], 'handicaps before this game': [0.0, 0.0, 0.25, -0.5], 'team selection': 'random'}
18,{'tyres': ['Button', 'Offroad', 'Offroad', 'Offroad'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Cloud Glider', 'Parachute', 'Peach Parasol', 'Waddle Wing'], 'vehicles': ['Sports Coupe', 'Buggybud', 'Standard Bike', 'Bounder'], 'players': ['Thomas', 'Victor', 'Paulin', 'Computer'], 'characters': ['Ludwig', 'Wendy', 'Yoshi', 'Wario'], 'handicaps before this game': [-0.75, -0.75, -0.25, 0.0], 'team selection': 'random'}
19,{'tyres': ['Retro Off-road', 'Offroad', 'Azure Roller', 'Azure Roller'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['MKTV Parafoil', 'Flower Glider', 'Super Glider', 'Super Glider'], 'vehicles': ['Cat Cruiser', 'Jet Bike', 'Varmint', 'Buggybud'], 'players': ['Thomas', 'Andy', 'Rob', 'Computer'], 'characters': ['Wario', 'Baby Peach', 'Mario', 'Baby Peach'], 'handicaps before this game': [-0.75, 0.0, 0.0, 0.0], 'team selection': 'random'}
20,{'tyres': ['Azure Roller', 'Normal Tyres', 'Normal Blue', 'Wooden'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['MKTV Parafoil', 'Cloud Glider', 'Peach Parasol', 'Flower Glider'], 'vehicles': ['Standard Bike', 'Steel Driver', 'Cat Cruiser', 'The Duke'], 'players': ['Oliver', 'Andy', 'Ian', 'Arvinda'], 'characters': ['Morton', 'Waluigi', 'Waluigi', 'Shy Guy'], 'handicaps before this game': [-0.5, 0.0, -0.5, -0.25], 'team selection': 'random'}
21,{'tyres': ['Normal Tyres', 'Normal Tyres', 'Metal', 'Slick'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Cloud Glider', 'Parachute', 'Super Glider', 'Peach Parasol'], 'vehicles': ['Sports Coupe', 'Badwagon', 'Teddy Buggy', 'Standard Quad'], 'players': ['Rob', 'Ian', 'Uma', 'Andy'], 'characters': ['Baby Daisy', 'Baby Daisy', 'Waluigi', 'Wendy'], 'handicaps before this game': [0.5, -0.75, 0.0, -0.25], 'team selection': 'random'}
22,{'tyres': ['Monster', 'Offroad', 'Slim', 'Retro Off-road'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Flower Glider', 'Cloud Glider', 'Wario Wing', 'Flower Glider'], 'vehicles': ['Mach 8', 'Standard Bike', 'Bounder', 'The Duke'], 'players': ['Rob', 'Thomas', 'Andy', 'Uma'], 'characters': ['Lakitu', 'Rosalina', 'Yoshi', 'Wendy'], 'handicaps before this game': [0.5, -0.25, -0.25, 0.0], 'team selection': 'random'}
23,{'tyres': ['Sponge', 'Azure Roller', 'Button', 'Wooden'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Bowser Kite', 'Bowser Kite', 'Peach Parasol', 'Cloud Glider'], 'vehicles': ['Circuit Special', 'Tri-Speeder', 'Teddy Buggy', 'Jet Bike'], 'players': ['Rob', 'Ian', 'Uma', 'Computer'], 'characters': ['Toadette', 'Yoshi', 'Donkey Kong', 'Donkey Kong'], 'handicaps before this game': [0.75, -0.75, -0.25, 0.0], 'team selection': 'random'}
24,{'tyres': ['Sponge', 'Cushion', 'Metal', 'Wooden'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Flower Glider', 'Bowser Kite', 'Peach Parasol', 'Parachute'], 'vehicles': ['Sports Coupe', 'Steel Driver', 'Wild Wiggler', 'Bounder'], 'players': ['Thomas', 'Joe', 'Uma', 'Victor'], 'characters': ['Toadette', 'Daisy', 'Baby Mario', 'Roy'], 'handicaps before this game': [-0.25, 0.0, 0.25, -0.75], 'team selection': 'random'}
25,{'tyres': ['Roller', 'Funky Monster', 'Wooden', 'Button'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Peach Parasol', 'Parachute', 'Wario Wing', 'Bowser Kite'], 'vehicles': ['Jet Bike', 'Sport Bike', 'Flame Rider', 'The Duke'], 'players': ['Rob', 'Ian', 'Joe', 'Uma'], 'characters': ['Koopa Troopa', 'Daisy', 'Donkey Kong', 'Rosalina'], 'handicaps before this game': [1.25, -0.75, -0.25, 0.5], 'team selection': 'random'}
26,{'tyres': ['Button', 'Slick', 'Normal Tyres', 'Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Parachute', 'Super Glider', 'Peach Parasol', 'Bowser Kite'], 'vehicles': ['Buggybud', 'Cat Cruiser', 'Badwagon', 'Sports Coupe'], 'players': ['Uma', 'Ian', 'Thomas', 'Arvinda'], 'characters': ['Baby Daisy', 'Pink Gold Peach', 'Bowser', 'Mario'], 'handicaps before this game': [0.5, -0.75, -0.5, 0.25], 'team selection': 'random'}
27,{'tyres': ['Wooden', 'Azure Roller', 'Offroad', 'Retro Off-road'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['MKTV Parafoil', 'Wario Wing', 'Peach Parasol', 'Parafoil'], 'vehicles': ['Badwagon', 'Bounder', 'Circuit Special', 'Landship'], 'players': ['Rob', 'Andy', 'Uma', 'Ian'], 'characters': ['Pink Gold Peach', 'Roy', 'Luigi', 'Toad'], 'handicaps before this game': [1.25, 0.25, 0.25, -0.5], 'team selection': 'random'}
28,{'tyres': ['Roller', 'Funky Monster', 'Azure Roller', 'Normal Tyres'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Flower Glider', 'Cloud Glider', 'Peach Parasol', 'Super Glider'], 'vehicles': ['Standard Bike', 'Landship', 'Standard Bike', 'Standard Kart'], 'players': ['Oliver', 'Rob', 'Victor', 'Ian'], 'characters': ['Baby Daisy', 'Baby Luigi', 'Lemmy', 'Peach'], 'handicaps before this game': [0.0, 1.25, -0.5, -0.5], 'team selection': 'random'}
29,{'tyres': ['Azure Roller', 'Azure Roller', 'Monster', 'Slick'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Wario Wing', 'Peach Parasol', 'Flower Glider', 'Cloud Glider'], 'vehicles': ['Sports Coupe', 'The Duke', 'Standard Bike', 'Standard Quad'], 'players': ['Uma', 'Victor', 'Andy', 'Rob'], 'characters': ['Luigi', 'Waluigi', 'Toad', 'Waluigi'], 'handicaps before this game': [0.25, -0.75, 0.25, 1.0], 'team selection': 'random'}
30,{'tyres': ['Cushion', 'Crimson Slim', 'Retro Off-road', 'Roller'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Waddle Wing', 'Plane Glider', 'Parafoil', 'Super Glider'], 'vehicles': ['Mr. Scooty', 'Jet Bike', 'Standard Bike', 'Landship'], 'players': ['Andy', 'Rob', 'Uma', 'Computer'], 'characters': ['Wario', 'Toad', 'Daisy', 'Baby Daisy'], 'handicaps before this game': [0.5, 0.75, 0.5, 0.0], 'team selection': 'random'}
31,{'tyres': ['Monster', 'Metal', 'Retro Off-road', 'Sponge'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['MKTV Parafoil', 'Parafoil', 'MKTV Parafoil', 'Wario Wing'], 'vehicles': ['Sport Bike', 'Circuit Special', 'Cat Cruiser', 'Circuit Special'], 'players': ['Victor', 'Andy', 'Paulin', 'Ian'], 'characters': ['Donkey Kong', 'Bowser', 'Bowser', 'Wendy'], 'handicaps before this game': [-0.75, 0.5, 0.0, 0.0], 'team selection': 'random'}
32,{'tyres': ['Slim', 'Normal Blue', 'Retro Off-road', 'Crimson Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Cloud Glider', 'Flower Glider', 'Parachute', 'Parafoil'], 'vehicles': ['Teddy Buggy', 'Landship', 'Buggybud', 'Yoshi Bike'], 'players': ['Thomas', 'Ian', 'Uma', 'Oliver'], 'characters': ['Waluigi', 'Waluigi', 'Pink Gold Peach', 'Roy'], 'handicaps before this game': [0.0, 0.25, 1.0, 0.5], 'team selection': 'random'}
33,{'tyres': ['Button', 'Retro Off-road', 'Metal', 'Normal Blue'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Plane Glider', 'Parafoil', 'Cloud Glider', 'Plane Glider'], 'vehicles': ['Standard Kart', 'The Duke', 'Landship', 'Cat Cruiser'], 'players': ['Victor', 'Ian', 'Uma', 'Rob'], 'characters': ['Bowser', 'Wendy', 'Bowser', 'Baby Luigi'], 'handicaps before this game': [-0.5, 0.5, 1.25, 1.25], 'team selection': 'random'}
34,{'tyres': ['Button', 'Roller', 'Retro Off-road', 'Button'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['MKTV Parafoil', 'Parafoil', 'Peach Parasol', 'Cloud Glider'], 'vehicles': ['Standard Bike', 'Teddy Buggy', 'Teddy Buggy', 'Cat Cruiser'], 'players': ['Arvinda', 'Rob', 'Johan', 'Ian'], 'characters': ['Donkey Kong', 'Toadette', 'Bowser', 'Lakitu'], 'handicaps before this game': [0.25, 1.0, 0.25, 0.75], 'team selection': 'random'}
35,{'tyres': ['Offroad', 'Retro Off-road', 'Azure Roller', 'Sponge'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Peach Parasol', 'Bowser Kite', 'MKTV Parafoil', 'Plane Glider'], 'vehicles': ['Prancer', 'Cat Cruiser', 'Buggybud', 'Standard Bike'], 'players': ['Andy', 'Victor', 'Rob', 'Uma'], 'characters': ['Wario', 'Wendy', 'Baby Daisy', 'Shy Guy'], 'handicaps before this game': [0.25, -0.25, 0.75, 1.0], 'team selection': 'random'}
36,{'tyres': ['Offroad', 'Funky Monster', 'Wooden', 'Azure Roller'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parachute', 'MKTV Parafoil', 'Bowser Kite', 'Parafoil'], 'vehicles': ['Jet Bike', 'Steel Driver', 'Flame Rider', 'Landship'], 'players': ['Joe', 'Oliver', 'Arvinda', 'Guy'], 'characters': ['Mario', 'Wario', 'Donkey Kong', 'Wario'], 'handicaps before this game': [0.0, 0.25, 0.0, 0.25], 'team selection': 'random'}
37,{'tyres': ['Monster', 'Cushion', 'Wooden', 'Sponge'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Parachute', 'Plane Glider', 'Bowser Kite', 'Cloud Glider'], 'vehicles': ['Varmint', 'Mach 8', 'Teddy Buggy', 'Comet'], 'players': ['Victor', 'Uma', 'Rob', 'Ian'], 'characters': ['Morton', 'Roy', 'Rosalina', 'Baby Daisy'], 'handicaps before this game': [-0.5, 1.25, 0.5, 1.0], 'team selection': 'random'}
38,{'tyres': ['Wooden', 'Crimson Slim', 'Metal', 'Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Parafoil', 'Peach Parasol', 'Bowser Kite', 'Cloud Glider'], 'vehicles': ['Comet', 'Landship', 'Prancer', 'Prancer'], 'players': ['Rob', 'Andy', 'Uma', 'Ian'], 'characters': ['Shy Guy', 'Baby Mario', 'Lakitu', 'Baby Daisy'], 'handicaps before this game': [0.5, 0.5, 1.25, 1.0], 'team selection': 'random'}
39,{'tyres': ['Metal', 'Normal Tyres', 'Normal Tyres', 'Metal'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Cloud Glider', 'Plane Glider', 'Peach Parasol', 'Cloud Glider'], 'vehicles': ['Comet', 'Standard Kart', 'Standard Bike', 'Standard Kart'], 'players': ['Uma', 'Arvinda', 'Ian', 'Victor'], 'characters': ['Mario', 'Mario', 'Mario', 'Donkey Kong'], 'handicaps before this game': [1.25, -0.25, 1.0, -0.5], 'team selection': 'random'}
40,{'tyres': ['Funky Monster', 'Crimson Slim', 'Roller', 'Slick'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Super Glider', 'Parafoil', 'Super Glider', 'Parachute'], 'vehicles': ['Badwagon', 'The Duke', 'The Duke', 'The Duke'], 'players': ['Thomas', 'Ian', 'Uma', 'Rob'], 'characters': ['Rosalina', 'Wario', 'Baby Peach', 'Toadette'], 'handicaps before this game': [-0.25, 1.25, 1.5, 0.5], 'team selection': 'random'}
41,{'tyres': ['Sponge', 'Sponge', 'Slick', 'Metal'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['MKTV Parafoil', 'Parachute', 'MKTV Parafoil', 'Super Glider'], 'vehicles': ['Prancer', 'The Duke', 'Wild Wiggler', 'Varmint'], 'players': ['Uma', 'Andy', 'Ian', 'Rob'], 'characters': ['Shy Guy', 'Baby Daisy', 'Baby Peach', 'Wario'], 'handicaps before this game': [1.75, 0.5, 1.5, 0.25], 'team selection': 'random'}
42,{'tyres': ['Wooden', 'Metal', 'Slim', 'Metal'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Plane Glider', 'Flower Glider', 'Parachute', 'MKTV Parafoil'], 'vehicles': ['Bounder', 'Sport Bike', 'Yoshi Bike', 'Cat Cruiser'], 'players': ['Ian', 'Victor', 'Rob', 'Uma'], 'characters': ['Mario', 'Baby Daisy', 'Koopa Troopa', 'Lemmy'], 'handicaps before this game': [1.5, -0.75, 0.25, 1.75], 'team selection': 'random'}
43,{'tyres': ['Funky Monster', 'Monster', 'Cushion', 'Button'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Bowser Kite', 'Flower Glider', 'MKTV Parafoil', 'Flower Glider'], 'vehicles': ['Flame Rider', 'Standard Kart', 'The Duke', 'Landship'], 'players': ['Rob', 'Andy', 'Uma', 'Ian'], 'characters': ['Roy', 'Baby Peach', 'Donkey Kong', 'Baby Luigi'], 'handicaps before this game': [0.5, 0.5, 1.5, 1.25], 'team selection': 'random'}
44,{'tyres': ['Sponge', 'Offroad', 'Sponge', 'Crimson Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Parafoil', 'Super Glider', 'Cloud Glider', 'Plane Glider'], 'vehicles': ['Landship', 'Steel Driver', 'Buggybud', 'Mr. Scooty'], 'players': ['Uma', 'Rob', 'Andy', 'Ian'], 'characters': ['Morton', 'Lakitu', 'Pink Gold Peach', 'Shy Guy'], 'handicaps before this game': [1.25, 0.25, 0.75, 1.5], 'team selection': 'random'}
45,{'tyres': ['Roller', 'Retro Off-road', 'Metal', 'Normal Blue'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Cloud Glider', 'Super Glider', 'MKTV Parafoil', 'Flower Glider'], 'vehicles': ['Tri-Speeder', 'Wild Wiggler', 'Teddy Buggy', 'Tri-Speeder'], 'players': ['Joe', 'Eirik', 'Victor', 'Oliver'], 'characters': ['Roy', 'Morton', 'Daisy', 'Baby Mario'], 'handicaps before this game': [-0.25, 0.25, -0.5, 0.5], 'team selection': 'random'}
46,{'tyres': ['Roller', 'Offroad', 'Slick', 'Metal'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Super Glider', 'Cloud Glider', 'Wario Wing', 'Parachute'], 'vehicles': ['Tri-Speeder', 'Yoshi Bike', 'Jet Bike', 'Comet'], 'players': ['Paulin', 'Andy', 'Victor', 'Ian'], 'characters': ['Luigi', 'Luigi', 'Toad', 'Baby Peach'], 'handicaps before this game': [-0.25, 1.0, -0.75, 1.25], 'team selection': 'random'}
47,{'tyres': ['Slim', 'Roller', 'Normal Blue', 'Funky Monster'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Peach Parasol', 'MKTV Parafoil', 'MKTV Parafoil', 'Peach Parasol'], 'vehicles': ['Sports Coupe', 'Badwagon', 'Standard Kart', 'Wild Wiggler'], 'players': ['Uma', 'Andy', 'Rob', 'Ian'], 'characters': ['Roy', 'Bowser', 'Mario', 'Baby Luigi'], 'handicaps before this game': [1.0, 0.75, 0.5, 1.5], 'team selection': 'random'}
48,{'tyres': ['Roller', 'Funky Monster', 'Button', 'Offroad'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Wario Wing', 'Plane Glider', 'Flower Glider', 'Flower Glider'], 'vehicles': ['The Duke', 'Mr. Scooty', 'Badwagon', 'Flame Rider'], 'players': ['Rob', 'Uma', 'Andy', 'Ian'], 'characters': ['Lakitu', 'Toadette', 'Wario', 'Koopa Troopa'], 'handicaps before this game': [0.25, 1.25, 0.5, 1.75], 'team selection': 'random'}
49,{'tyres': ['Retro Off-road', 'Slim', 'Roller', 'Slick'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Peach Parasol', 'Parachute', 'Parachute', 'Parachute'], 'vehicles': ['Landship', 'Flame Rider', 'Bounder', 'Sport Bike'], 'players': ['Andy', 'Uma', 'Victor', 'Rob'], 'characters': ['Pink Gold Peach', 'Luigi', 'Donkey Kong', 'Daisy'], 'handicaps before this game': [0.75, 1.0, -0.5, 0.5], 'team selection': 'random'}
50,{'tyres': ['Cushion', 'Cushion', 'Normal Tyres', 'Wooden'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Wario Wing', 'Super Glider', 'Peach Parasol', 'Flower Glider'], 'vehicles': ['Badwagon', 'Yoshi Bike', 'Standard Bike', 'Standard Quad'], 'players': ['Rob', 'Uma', 'Andy', 'Computer'], 'characters': ['Daisy', 'Donkey Kong', 'Waluigi', 'Shy Guy'], 'handicaps before this game': [0.5, 1.0, 0.75, 0.0], 'team selection': 'random'}
51,{'tyres': ['Funky Monster', 'Funky Monster', 'Monster', 'Slim'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Flower Glider', 'Waddle Wing', 'Parafoil', 'Super Glider'], 'vehicles': ['Yoshi Bike', 'Mr. Scooty', 'Steel Driver', 'Landship'], 'players': ['Uma', 'Ian', 'Guy', 'Andy'], 'characters': ['Koopa Troopa', 'Koopa Troopa', 'Baby Peach', 'Roy'], 'handicaps before this game': [1.0, 1.75, 0.75, 1.25], 'team selection': 'random'}
52,{'tyres': ['Button', 'Retro Off-road', 'Normal Blue', 'Sponge'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Peach Parasol', 'Parachute', 'Parachute', 'MKTV Parafoil'], 'vehicles': ['Tri-Speeder', 'Bounder', 'Jet Bike', 'Buggybud'], 'players': ['Christina', 'Ian', 'Rob', 'Andy'], 'characters': ['Wendy', 'Lemmy', 'Baby Mario', 'Shy Guy'], 'handicaps before this game': [0.5, 1.5, 1.0, 1.5], 'team selection': 'random'}
